disease,window,state,concern,burden,pool_burden,D,D_lo,D_hi,excludes_zero,burden_percentile,trend,gop_margin,gate,action,reason,content_row,target_row
flu,October 1 - October 25,nj,34.3,0.165,0.1436,0.1792,-0.656,0.7734,False,0.804,,-6.03,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,ms,30.5,0.2175,0.1436,-1.0083,-2.1249,-0.0848,True,0.882,,23.15,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,ky,25.1,0.115,0.1436,-1.7196,-2.215,-0.1933,True,0.569,,31.03,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,vt,36.3,0.05,0.1436,2.8782,1.6227,3.6443,True,0.059,,-32.77,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,ks,26.7,0.105,0.1436,-1.1339,-2.1423,0.3761,False,0.539,,16.41,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,mn,26.8,0.09,0.1436,-0.7234,-1.3558,0.1704,False,0.422,,-4.34,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,nv,34.2,0.1475,0.1436,0.1644,-1.1021,1.0638,False,0.775,,3.16,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,ia,26.0,0.06,0.1436,0.1223,-0.6438,1.4261,False,0.078,,13.45,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,oh,29.8,0.0675,0.1436,0.9164,-0.7073,2.4876,False,0.147,,11.31,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,sd,25.9,0.0875,0.1436,-1.082,-1.4247,0.1501,False,0.373,,29.89,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,ma,29.4,0.075,0.1436,0.5414,-0.2701,1.4499,False,0.206,,-25.91,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,me,32.5,0.0925,0.1436,0.7169,-0.3234,1.3762,False,0.48,,-7.09,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,ak,28.9,0.2025,0.1436,-1.5225,-2.5945,-0.1507,True,0.863,,13.69,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,nh,34.3,0.1275,0.1436,0.4779,-0.4071,1.072,False,0.706,,-2.82,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,mo,30.8,0.0825,0.1436,0.8465,-1.5675,2.2712,False,0.314,,18.67,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,ar,29.4,0.0775,0.1436,0.3811,-0.7516,1.6166,False,0.255,,31.34,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,ga,26.7,0.12,0.1436,-1.3049,-2.3133,0.205,False,0.608,,2.21,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,pa,31.3,0.0725,0.1436,1.4445,0.4937,1.8115,True,0.176,,1.73,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,nd,27.6,0.03,0.1436,1.0325,0.1944,2.0622,True,0.039,,37.39,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,in,28.1,0.08,0.1436,-0.1166,-1.0166,1.0603,False,0.294,,19.3,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,mt,29.9,0.085,0.1436,0.2992,-0.6244,1.132,False,0.353,,20.58,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,la,28.2,0.4775,0.1436,-2.1896,-3.0005,-1.126,True,0.961,,22.36,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,wa,37.5,0.17,0.1436,0.484,-1.3378,1.1278,False,0.843,,-18.93,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,ri,30.1,0.0675,0.1436,1.0374,-0.0433,2.0036,False,0.147,,-14.16,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,co,31.1,0.12,0.1436,0.1785,-1.1128,0.8614,False,0.608,,-11.29,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,ca,33.2,0.1475,0.1436,0.096,-0.8991,0.721,False,0.775,,-20.8,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,az,26.9,0.09,0.1436,-0.6508,-1.8513,0.8338,False,0.422,,5.59,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,dc,37.9,0.13,0.1436,1.512,0.3115,1.512,True,0.725,,-86.63,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,nc,29.1,0.6625,0.1436,-2.4918,-3.3737,-1.3336,True,1.0,,3.26,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,wy,23.0,0.095,0.1436,-2.0699,-2.0699,-0.8011,True,0.51,,46.96,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,fl,29.1,0.52,0.1436,-2.1908,-3.1949,-0.9677,True,0.98,,13.22,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,md,37.8,0.125,0.1436,1.3469,-0.3737,1.648,False,0.676,,-29.51,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 1 - October 25,id,27.0,0.105,0.1436,-0.8735,-1.8412,0.221,False,0.539,,37.52,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 26 - November 29,co,23.6,1.154,0.5836,-2.5022,-3.2683,-1.1984,True,0.902,widening,-11.29,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 26 - November 29,ga,27.6,0.626,0.5836,-0.4058,-2.0768,1.072,False,0.706,closing,2.21,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 26 - November 29,wi,26.5,0.274,0.5836,0.5201,-0.2563,1.5,False,0.176,closing,0.87,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 26 - November 29,ok,26.7,0.154,0.5836,1.3061,0.4696,2.1896,True,0.059,widening,34.94,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 26 - November 29,ar,25.1,0.346,0.5836,-0.4567,-1.126,0.5948,False,0.333,flat,31.34,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 26 - November 29,ca,29.0,0.278,0.5836,1.2651,0.1315,2.2955,True,0.196,widening,-20.8,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 26 - November 29,id,21.3,0.764,0.5836,-2.6382,-2.9393,-1.0635,True,0.824,widening,37.52,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 26 - November 29,ri,31.4,0.422,0.5836,1.1048,-0.1451,1.7688,False,0.51,flat,-14.16,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 26 - November 29,oh,20.3,0.304,0.5836,-1.3336,-1.3336,0.3922,False,0.235,widening,11.31,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 26 - November 29,az,27.0,0.318,0.5836,0.3084,-0.9237,1.6072,False,0.314,closing,5.59,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 26 - November 29,mo,29.8,0.316,0.5836,1.173,-1.0166,2.6278,False,0.294,widening,18.67,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 26 - November 29,ms,28.6,0.754,0.5836,-0.457,-1.6705,0.625,False,0.804,closing,23.15,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 26 - November 29,ks,25.4,0.194,0.5836,0.5355,-0.2707,1.8062,False,0.098,closing,16.41,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 26 - November 29,nc,29.2,1.358,0.5836,-0.8554,-1.9783,0.1223,False,0.922,closing,3.26,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 26 - November 29,hi,33.5,2.662,0.5836,-0.4061,-1.512,0.0,False,1.0,flat,-23.56,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 26 - November 29,sd,25.7,0.04,0.5836,1.4548,0.4955,2.5723,True,0.02,widening,29.89,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 26 - November 29,ma,31.9,0.394,0.5836,1.5224,0.4621,1.9875,True,0.422,widening,-25.91,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 26 - November 29,ak,23.4,0.608,0.5836,-1.8218,-2.4656,-0.4923,True,0.667,widening,13.69,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 26 - November 29,mt,24.6,0.398,0.5836,-0.875,-1.4293,0.1933,False,0.451,widening,20.58,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 26 - November 29,md,27.2,0.818,0.5836,-1.1409,-2.5945,0.406,False,0.863,closing,-29.51,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 26 - November 29,nh,29.3,0.356,0.5836,0.8981,0.0,1.6995,False,0.353,widening,-2.82,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 26 - November 29,me,29.9,0.256,0.5836,1.7251,0.875,2.3239,True,0.157,widening,-7.09,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 26 - November 29,nd,22.9,0.218,0.5836,-0.4696,-0.9651,0.8614,False,0.137,closing,37.39,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 26 - November 29,ne,23.7,0.114,0.5836,0.5704,0.0,1.5254,False,0.039,closing,20.84,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 26 - November 29,fl,25.6,1.46,0.5836,-2.1006,-3.0005,-0.9777,True,0.941,flat,13.22,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 26 - November 29,or,27.2,0.312,0.5836,0.4943,-0.4897,1.5572,False,0.275,widening,-14.87,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 26 - November 29,vt,30.5,0.31,0.5836,1.6166,0.5294,2.2489,True,0.255,closing,-32.77,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 26 - November 29,mi,27.5,0.406,0.5836,0.0482,-1.1502,1.0683,False,0.49,closing,1.44,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 26 - November 29,nm,27.7,0.474,0.5836,0.0244,-1.25,0.9597,False,0.569,closing,-6.14,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 26 - November 29,mn,26.6,0.566,0.5836,-0.6882,-1.5425,0.2138,False,0.647,flat,-4.34,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 26 - November 29,wv,27.5,0.198,0.5836,1.1984,0.329,1.9347,True,0.118,closing,42.69,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 26 - November 29,wa,25.4,0.486,0.5836,-1.0117,-2.3133,1.331,False,0.608,widening,-18.93,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 26 - November 29,in,26.4,0.402,0.5836,-0.4058,-1.3295,0.8329,False,0.471,widening,19.3,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 26 - November 29,wy,23.8,0.514,0.5836,-1.3982,-2.3633,-0.1483,True,0.627,closing,46.96,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 26 - November 29,il,32.0,0.438,0.5836,1.3779,0.4002,1.7206,True,0.529,widening,-11.14,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
flu,October 26 - November 29,pa,28.0,0.386,0.5836,0.5368,-0.3218,1.0945,False,0.392,closing,1.73,FAIL,NO_DECISION_MEASUREMENT_CONDITION_FAILED,"measurement condition failed for this window: the perceived-risk leg does not track the benchmark here, so the rule is not actuated. The paper never names a return value for this case; the token is ours.",not applicable,not applicable
